week,manager,team_name,points,points_against,projected_points
10,Andre Lafontant,Game of Jones,91.14,106.42,90.17
10,JL,Post Mahomes,106.42,91.14,123.46
11,Adam,Zeke Virus,114.42,139.06,127.43
11,Jean,Run it Back,139.06,114.42,130.38
11,Christopher,3HeadedATK,122.22,72.88,134.74
11,Andre Lafontant,Game of Jones,72.88,122.22,94.02
11,Travis,Big Bucs No Whammies,138.24,85.32,140.79
11,JL,Post Mahomes,85.32,138.24,125.00
11,Jake,Birds Like I'm Julio,152.48,146.78,133.70
11,Khari,Da Don Da Da's,146.78,152.48,144.06
11,Andy,Eli Man Penguin Boy,125.20,130.76,148.60
11,roy s,Obi 'Quon Kenobi,130.76,125.20,143.57
12,Adam,Zeke Virus,93.12,138.90,123.81
12,Travis,Big Bucs No Whammies,138.90,93.12,125.45
12,Christopher,3HeadedATK,109.08,201.26,117.55
12,Andy,Eli Man Penguin Boy,201.26,109.08,148.10
12,Jake,Birds Like I'm Julio,114.06,140.34,138.48
12,Jean,Run it Back,140.34,114.06,153.10
12,roy s,Obi 'Quon Kenobi,136.32,106.26,142.17
12,JL,Post Mahomes,106.26,136.32,128.65
12,Andre Lafontant,Game of Jones,88.10,121.78,92.78
12,Khari,Da Don Da Da's,121.78,88.10,133.53
13,Adam,Zeke Virus,113.52,158.58,115.72
13,JL,Post Mahomes,158.58,113.52,123.15
13,Christopher,3HeadedATK,129.54,119.80,133.96
13,Travis,Big Bucs No Whammies,119.80,129.54,125.23
13,Jake,Birds Like I'm Julio,119.62,70.10,150.26
13,Andre Lafontant,Game of Jones,70.10,119.62,103.18
13,Jean,Run it Back,151.46,129.66,156.80
13,roy s,Obi 'Quon Kenobi,129.66,151.46,146.66
13,Andy,Eli Man Penguin Boy,154.46,104.46,148.55
13,Khari,Da Don Da Da's,104.46,154.46,143.75
14,Adam,Zeke Virus,148.34,145.46,109.61
14,Khari,Da Don Da Da's,145.46,148.34,133.05
14,Christopher,3HeadedATK,169.58,114.70,134.83
14,Jake,Birds Like I'm Julio,114.70,169.58,148.83
14,Travis,Big Bucs No Whammies,152.60,120.38,147.14
14,roy s,Obi 'Quon Kenobi,120.38,152.60,140.30
14,Jean,Run it Back,157.34,118.84,155.90
14,JL,Post Mahomes,118.84,157.34,117.65
14,Andy,Eli Man Penguin Boy,147.50,72.82,158.28
14,Andre Lafontant,Game of Jones,72.82,147.50,109.06
15,Adam,Zeke Virus,135.52,137.28,126.54
15,Christopher,3HeadedATK,137.28,135.52,119.77
