team_name,week,player_name,player_position,player_team,lineup_position,fantasy_points,manager
Obi 'Quon Kenobi,9,Stefon Diggs,WR,Buf,WR,2.6,roy s
Obi 'Quon Kenobi,9,Sterling Shepard,WR,NYG,BN,0,roy s
Zeke Virus,9,T.Y. Hilton,WR,Ind,BN,0,Adam
Game of Jones,9,Tarik Cohen,RB,Chi,BN,3.6,Andre
Big Bucs No Whammies,9,Teddy Bridgewater,QB,Car,BN,0,Travis
Post Mahomes,9,Tennessee,DEF,Ten,BN,6,JL
Eli Man Penguin Boy,9,Terry McLaurin,WR,Was,W/R/T,7.9,Andy
Zeke Virus,9,Tevin Coleman,RB,SF,RB,5.6,Adam
Zeke Virus,9,Todd Gurley II,RB,LAR,BN,0,Adam
Game of Jones,9,Tom Brady,QB,TB,QB,15.4,Andre
Post Mahomes,9,Tony Pollard,RB,Dal,BN,4,JL
Birds Like I'm Julio,9,Travis Kelce,TE,KC,TE,13.2,Jake
Obi 'Quon Kenobi,9,Ty Johnson,RB,Det,BN,6.6,roy s
3HeadedATK,9,Tyler Boyd,WR,Cin,BN,0,Christopher
Birds Like I'm Julio,9,Tyler Lockett,WR,Sea,WR,40.2,Jake
Big Bucs No Whammies,9,Tyreek Hill,WR,KC,WR,26.5,Travis
Da Don Da Da's,9,Tyrell Williams,WR,LV,W/R/T,7.8,Khari
