team_name,week,player_name,player_position,player_team,lineup_position,fantasy_points,manager
Obi 'Quon Kenobi,8,Deshaun Watson,QB,Hou,QB,30.76,roy s
Run it Back,8,Devin Singletary,RB,Buf,BN,14.9,Jean
Post Mahomes,8,Devonta Freeman,RB,Atl,RB,16.2,JL
Big Bucs No Whammies,8,Dion Lewis,RB,NYG,BN,1.2,Travis
Da Don Da Da's,8,DJ Chark Jr.,WR,Jax,W/R/T,19.9,Khari
Run it Back,8,DJ Moore,WR,Car,W/R/T,8.8,Jean
Post Mahomes,8,DK Metcalf,WR,Sea,WR,16.3,JL
Run it Back,8,Drew Brees,QB,NO,BN,28.92,Jean
Birds Like I'm Julio,8,Duke Johnson,RB,Hou,BN,13.4,Jake
3HeadedATK,8,Emmanuel Sanders,WR,NO,W/R/T,12.5,Christopher
3HeadedATK,8,Eric Ebron,TE,Pit,TE,5.6,Christopher
Zeke Virus,8,Evan Engram,TE,NYG,TE,14,Adam
3HeadedATK,8,Ezekiel Elliott,RB,Dal,BN,0,Christopher
Birds Like I'm Julio,8,Frank Gore,RB,Buf,BN,3.4,Jake
Game of Jones,8,George Kittle,TE,SF,W/R/T,14.6,Andre
Zeke Virus,8,Gerald Everett,TE,LAR,BN,3.5,Adam
3HeadedATK,8,Golden Tate,WR,NYG,WR,16.5,Christopher
Birds Like I'm Julio,8,Green Bay,DEF,GB,DEF,4,Jake
3HeadedATK,8,Greg Olsen,TE,Sea,BN,3.3,Christopher
Game of Jones,8,Greg Zuerlein,K,Dal,K,6,Andre
Big Bucs No Whammies,8,Harrison Butker,K,KC,K,6,Travis
Run it Back,8,Hunter Henry,TE,LAC,TE,8.7,Jean
Big Bucs No Whammies,8,J.D. McKissic,RB,Was,W/R/T,3.1,Travis
Zeke Virus,8,Jacksonville,DEF,Jax,DEF,15,Adam
Da Don Da Da's,8,Jamaal Williams,RB,GB,BN,18.6,Khari
Zeke Virus,8,Jameis Winston,QB,TB,QB,23.34,Adam
Da Don Da Da's,8,James Conner,RB,Pit,RB,24,Khari
Post Mahomes,8,James White,RB,NE,RB,11.9,JL
Birds Like I'm Julio,8,Jamison Crowder,WR,NYJ,BN,5.4,Jake
Eli Man Penguin Boy,8,Jared Cook,TE,NO,BN,0,Andy
Post Mahomes,8,Jared Goff,QB,LAR,QB,24.88,JL
Eli Man Penguin Boy,8,Jarvis Landry,WR,Cle,W/R/T,11.5,Andy
Obi 'Quon Kenobi,8,Jason Myers,K,Sea,K,12,roy s
Game of Jones,8,Jason Witten,TE,LV,BN,0,Andre
Obi 'Quon Kenobi,8,Jimmy Graham,TE,Chi,TE,5,roy s
3HeadedATK,8,Joe Mixon,RB,Cin,RB,17.7,Christopher
Run it Back,8,Joey Slye,K,Car,K,4,Jean
Birds Like I'm Julio,8,John Brown,WR,Buf,W/R/T,10.4,Jake
Big Bucs No Whammies,8,Jordan Howard,RB,Mia,BN,18.1,Travis
Run it Back,8,Josh Allen,QB,Buf,QB,19.26,Jean
Game of Jones,8,Josh Gordon,WR,Sea,BN,0,Andre
Post Mahomes,8,Josh Jacobs,RB,LV,W/R/T,10.1,JL
Post Mahomes,8,JuJu Smith-Schuster,WR,Pit,W/R/T,21.3,JL
Run it Back,8,Julian Edelman,WR,NE,WR,27.5,Jean
Game of Jones,8,Julio Jones,WR,Atl,WR,25.2,Andre
Zeke Virus,8,Justin Tucker,K,Bal,BN,0,Adam
Birds Like I'm Julio,8,Ka'imi Fairbairn,K,Hou,K,10,Jake
Eli Man Penguin Boy,8,Kareem Hunt,RB,Cle,BN,0,Andy
Da Don Da Da's,8,Keenan Allen,WR,LAC,BN,12.3,Khari
Post Mahomes,8,Kenny Golladay,WR,Det,WR,28.3,JL
Game of Jones,8,Kenny Stills,WR,Hou,BN,5.2,Andre
Eli Man Penguin Boy,8,Kenyan Drake,RB,Ari,BN,0,Andy
3HeadedATK,8,Kerryon Johnson,RB,Det,BN,0,Christopher
Birds Like I'm Julio,8,Kirk Cousins,QB,Min,BN,11.6,Jake
Eli Man Penguin Boy,8,Kyler Murray,QB,Ari,BN,10.1,Andy
Birds Like I'm Julio,8,Lamar Jackson,QB,Bal,BN,0,Jake
Da Don Da Da's,8,Larry Fitzgerald,WR,Ari,BN,2.8,Khari
Birds Like I'm Julio,8,Latavius Murray,RB,NO,RB,36.7,Jake
Obi 'Quon Kenobi,8,Le'Veon Bell,RB,NYJ,RB,6.5,roy s
Obi 'Quon Kenobi,8,Leonard Fournette,RB,Jax,RB,20.6,roy s
Obi 'Quon Kenobi,8,LeSean McCoy,RB,KC,BN,8.3,roy s
Eli Man Penguin Boy,8,Los Angeles,DEF,LAR,DEF,9,Andy
Eli Man Penguin Boy,8,Los Angeles,DEF,LAC,BN,9,Andy
Post Mahomes,8,Mark Andrews,TE,Bal,BN,0,JL
Big Bucs No Whammies,8,Mark Ingram II,RB,Bal,BN,0,Travis
3HeadedATK,8,Marlon Mack,RB,Ind,RB,16,Christopher
Big Bucs No Whammies,8,Marquez Valdes-Scantling,WR,GB,W/R/T,1.4,Travis
Game of Jones,8,Marquise Brown,WR,Bal,BN,0,Andre
Obi 'Quon Kenobi,8,Marvin Jones Jr.,WR,Det,W/R/T,6.2,roy s
Post Mahomes,8,Mason Crosby,K,GB,K,7,JL
Run it Back,8,Matt Breida,RB,SF,RB,6,Jean
Obi 'Quon Kenobi,8,Matt Bryant,K,Atl,BN,7,roy s
Birds Like I'm Julio,8,Matthew Stafford,QB,Det,QB,27.38,Jake
Post Mahomes,8,Mecole Hardman,WR,KC,BN,13.5,JL
Da Don Da Da's,8,Melvin Gordon III,RB,Den,W/R/T,11.4,Khari
Zeke Virus,8,Michael Gallup,WR,Dal,BN,0,Adam
Obi 'Quon Kenobi,8,Michael Thomas,WR,NO,WR,27.3,roy s
3HeadedATK,8,Mike Evans,WR,TB,W/R/T,42.8,Christopher
Zeke Virus,8,Mike Nugent,K,NE,K,9,Adam
Obi 'Quon Kenobi,8,Mike Williams,WR,LAC,BN,9.9,roy s
Post Mahomes,8,Miles Sanders,RB,Phi,BN,22.8,JL
3HeadedATK,8,Minnesota,DEF,Min,DEF,12,Christopher
Obi 'Quon Kenobi,8,Mohamed Sanu,WR,NE,BN,4.3,roy s
Game of Jones,8,N'Keal Harry,WR,NE,BN,0,Andre
3HeadedATK,8,Nelson Agholor,WR,LV,BN,5.4,Christopher
Obi 'Quon Kenobi,8,New England,DEF,NE,DEF,21,roy s
Obi 'Quon Kenobi,8,New Orleans,DEF,NO,BN,8,roy s
Da Don Da Da's,8,Nick Chubb,RB,Cle,RB,10.8,Khari
Run it Back,8,O.J. Howard,TE,TB,BN,0,Jean
Post Mahomes,8,Odell Beckham Jr.,WR,Cle,BN,10.2,JL
Game of Jones,8,Patrick Mahomes,QB,KC,BN,0,Andre
Big Bucs No Whammies,8,Philadelphia,DEF,Phi,DEF,12,Travis
Da Don Da Da's,8,Philip Rivers,QB,Ind,QB,12.04,Khari
Da Don Da Da's,8,Phillip Lindsay,RB,Den,BN,12.6,Khari
Run it Back,8,Pittsburgh,DEF,Pit,DEF,13,Jean
Big Bucs No Whammies,8,Randall Cobb,WR,Hou,BN,0,Travis
Eli Man Penguin Boy,8,Robbie Gould,K,SF,K,9,Andy
Da Don Da Da's,8,Robby Anderson,WR,Car,WR,8.3,Khari
Run it Back,8,Robert Woods,WR,LAR,WR,6.2,Jean
Big Bucs No Whammies,8,Ronald Jones II,RB,TB,BN,6.2,Travis
Eli Man Penguin Boy,8,Royce Freeman,RB,Den,BN,11.5,Andy
Big Bucs No Whammies,8,Russell Wilson,QB,Sea,QB,17.68,Travis
Da Don Da Da's,8,San Francisco,DEF,SF,DEF,17,Khari
Birds Like I'm Julio,8,Saquon Barkley,RB,NYG,RB,28.3,Jake
Game of Jones,8,Sony Michel,RB,NE,RB,7.4,Andre
Obi 'Quon Kenobi,8,Stefon Diggs,WR,Buf,WR,19.3,roy s
Da Don Da Da's,8,Stephen Hauschka,K,Buf,K,1,Khari
Obi 'Quon Kenobi,8,Sterling Shepard,WR,NYG,BN,0,roy s
Post Mahomes,8,T.J. Hockenson,TE,Det,TE,3.1,JL
Zeke Virus,8,T.Y. Hilton,WR,Ind,WR,7.4,Adam
Game of Jones,8,Tarik Cohen,RB,Chi,BN,7.6,Andre
Big Bucs No Whammies,8,Teddy Bridgewater,QB,Car,BN,-0.2,Travis
Post Mahomes,8,Tennessee,DEF,Ten,DEF,11,JL
Eli Man Penguin Boy,8,Terry McLaurin,WR,Was,W/R/T,7.9,Andy
Zeke Virus,8,Tevin Coleman,RB,SF,W/R/T,37.8,Adam
Zeke Virus,8,Todd Gurley II,RB,LAR,RB,10.4,Adam
Game of Jones,8,Tom Brady,QB,TB,QB,20.36,Andre
Post Mahomes,8,Tony Pollard,RB,Dal,BN,0,JL
Birds Like I'm Julio,8,Travis Kelce,TE,KC,TE,16.3,Jake
Obi 'Quon Kenobi,8,Ty Johnson,RB,Det,W/R/T,4.8,roy s
3HeadedATK,8,Tyler Boyd,WR,Cin,WR,12.8,Christopher
Birds Like I'm Julio,8,Tyler Lockett,WR,Sea,WR,16,Jake
Big Bucs No Whammies,8,Tyreek Hill,WR,KC,WR,14.1,Travis
Da Don Da Da's,8,Tyrell Williams,WR,LV,BN,18.1,Khari
Obi 'Quon Kenobi,8,Vance McDonald,TE,Pit,BN,4.9,roy s
3HeadedATK,8,Wil Lutz,K,NO,K,7,Christopher
Birds Like I'm Julio,8,Will Fuller V,WR,Hou,BN,0,Jake
Da Don Da Da's,8,Zach Ertz,TE,Phi,TE,4,Khari
Big Bucs No Whammies,9,A.J. Brown,WR,Ten,BN,12.1,Travis
Zeke Virus,9,A.J. Green,WR,Cin,BN,0,Adam
Run it Back,9,Aaron Jones,RB,GB,RB,3.9,Jean
Eli Man Penguin Boy,9,Aaron Rodgers,QB,GB,QB,13.94,Andy
Big Bucs No Whammies,9,Adam Thielen,WR,Min,WR,0,Travis
Game of Jones,9,Adrian Peterson,RB,Was,BN,14,Andre
Run it Back,9,Alexander Mattison,RB,Min,BN,0.6,Jean
Birds Like I'm Julio,9,Allen Robinson II,WR,Chi,WR,1.6,Jake
Game of Jones,9,Alshon Jeffery,WR,Phi,WR,7.6,Andre
Run it Back,9,Alvin Kamara,RB,NO,BN,0,Jean
Zeke Virus,9,Amari Cooper,WR,Dal,WR,18,Adam
Birds Like I'm Julio,9,Antonio Brown,WR,NE,BN,0,Jake
Big Bucs No Whammies,9,Austin Ekeler,RB,LAC,RB,13.3,Travis
Game of Jones,9,Austin Hooper,TE,Cle,BN,0,Andre
3HeadedATK,9,Baker Mayfield,QB,Cle,BN,18.12,Christopher
Zeke Virus,9,Baltimore,DEF,Bal,DEF,13,Adam
Game of Jones,9,Brandin Cooks,WR,LAR,BN,0,Andre
Da Don Da Da's,9,Brett Maher,K,Dal,K,15,Khari
